nodeid,nodenm,gpslati,gpslong
CJB270000738,이정골종점,36.63489869,127.52297846
CJB270000739,우진교통종점,36.60991006,127.53271575
CJB270000741,명암약수터,36.65479188,127.52738526
CJB270000742,청주예술대학종점지,36.65846483,127.49948534
CJB270000743,한계리,36.60777143,127.56276487
CJB270000744,정상마을종점,36.68455009,127.46901197
CJB270000745,원평종점,36.67306107,127.43449009
CJB270000746,월오동종점,36.62171905,127.54720139
CJB270000747,보살사,36.62713563,127.53562089
CJB270000749,세종터미널 출발,36.47013506,127.27174158
CJB270000750,세종터미널 종료,36.46893569,127.27309022
CJB270000751,덕암리,36.69649242,127.55051438
CJB270000752,덕암리,36.69639661,127.55077107
CJB270000753,내수공설운동장,36.6956238,127.55805017
CJB270000754,내수공설운동장,36.69575053,127.557928
CJB270000755,형동2리,36.69662412,127.56281876
CJB270000756,형동2리,36.69689023,127.56275915
CJB270000759,초정약수종점,36.71877982,127.59981447
CJB270000760,초정약수기점,36.71849102,127.59990177
CJB270000761,세교교,36.71384607,127.56627133
CJB270000762,형동1리,36.7012037,127.56431813
CJB270000763,형동1리,36.70119407,127.56444955
CJB270000764,덕암2리,36.69503958,127.55241468
CJB270000765,덕암2리,36.69483105,127.55268734
CJB270000766,우산1리,36.7222135,127.589806
CJB270000767,강우스파빌,36.72195044,127.58742533
CJB270000768,세교2리,36.70760397,127.56808613
CJB270000769,세교2리,36.70755253,127.56800741
CJB270000770,강우스파빌,36.72184444,127.58744971
CJB270000771,우산1리,36.72207603,127.58981614
CJB270000772,갈원리,36.56793146,127.40343025
CJB270000773,갈원리,36.56789466,127.40298599
CJB270000774,갈원초등학교,36.56800798,127.39673891
CJB270000775,갈원초등학교,36.56791392,127.39657085
CJB270000776,충북보건과학대입구,36.69877082,127.54887166
CJB270000777,충북보건과학대입구,36.69884504,127.54840779
CJB270000778,산막종점,36.548606,127.4002221
CJB270000779,산막리,36.55237367,127.40062686
CJB270000780,점촌어린이공원,36.61986265,127.32002017
CJB270000781,점촌어린이공원,36.61995785,127.31980537
CJB270000782,바이오폴리스B8지구,36.61744523,127.31669571
CJB270000783,바이오폴리스B8지구,36.61755841,127.31649216
CJB270000784,바이오폴리스B7지구,36.61634881,127.31386865
CJB270000785,바이오폴리스B7지구,36.61651577,127.3137743
CJB270000786,노바렉스,36.62330032,127.30549262
CJB270000787,노바렉스,36.62255848,127.30486923
CJB270000788,바이오폴리스B2지구,36.6201451,127.31548264
CJB270000789,오송역파라곤센트럴시티1차아파트,36.6202402,127.31529857
CJB270000790,노아닉스,36.6277431,127.3071732
CJB270000791,노아닉스,36.6277503,127.30700553
CJB270000792,바이오폴리스B3지구,36.62213315,127.31079541
CJB270000793,바이오폴리스B3지구,36.62243026,127.31089722
CJB270000794,세교사거리,36.712959,127.56663417
CJB270000795,우산3리,36.7219491,127.58951854
CJB270000796,부강버스종점,36.5268972,127.36956112
CJB270000797,복지회관,36.52720965,127.36978592
CJB270000798,복지회관/부강버스종점,36.52699349,127.36975139
CJB270000799,우진교통종점,36.61101372,127.53477723
CJB270000800,반석역,36.39145908,127.31475114
CJB270000801,대평동(지하),36.47214973,127.27639304
CJB270000802,보람동.대평동,36.4750635,127.2808862
